qid,video_id,youtube_url,duration,question_type,capability,question,question_prompt,A,B,C,D,E
1111-7,CTYUD-TtBPA,https://www.youtube.com/shorts/CTYUD-TtBPA,16.38,Multiple-choice Question with a Single Correct Answer,Element Localization,Who decided to sit down after standing up instead of joining the dance?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The man in the white shirt,The woman in the green sari,The man in the blue shirt,The woman in the brown and red sari,None of the above
1112-7,1nMiInCRdfU,https://www.youtube.com/shorts/1nMiInCRdfU,31.79,Multiple-choice Question with a Single Correct Answer,Element Localization,Who took the firework instead of the lighter?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The person in the blue shirt.,The person in the pink shirt.,The person in the green shirt.,The person in the white shirt.,None of the above
1117-7,l9HF9qcNvBs,https://www.youtube.com/shorts/l9HF9qcNvBs,58.86,Multiple-choice Question with a Single Correct Answer,Element Localization,Who made the water overflow and failed the challenge?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The person in the yellow shirt,The person in the red shirt,The person in the purple shirt,The person in the blue shirt,None of the above
1119-7,JdPIts7RgUM,https://www.youtube.com/shorts/JdPIts7RgUM,11.97,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the iron bowl when the person in red reacts to the cat and dog picture?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",On the lap of the person in red.,In the kitchen.,On the floor under the oversized phone screen.,On the couch next to the person in red.,None of the above
1121-7,NFMqcsBtY30,https://www.youtube.com/shorts/NFMqcsBtY30,20.27,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which symbol is the filament light bulb closest to on the control panel?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three clouds,Sun,Snowflake,Lightning,None of the above
1122-7,Z5fnnWTVTrI,https://www.youtube.com/shorts/Z5fnnWTVTrI,31.25,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the little man in overalls with the white bag at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",In a black cylinder of the vacuum cleaner,In a toy house,On a miniature set,Inside a janitor's closet,None of the above
1124-7,_uSQXykxzT0,https://www.youtube.com/shorts/_uSQXykxzT0,17.62,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the egg after the performer pushes it?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Inside the water bottle,"Behind the water bottle, held by the performer",On the floor,In the audience's view,None of the above
1127-7,J_W4i0HkKJ0,https://www.youtube.com/shorts/J_W4i0HkKJ0,20.01,Multiple-choice Question with a Single Correct Answer,Positional Relationship,"In the third segment, where is the target basket positioned relative to the ball shooter?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Above the ball shooter.,To the right of the ball shooter.,"Behind the man, who is facing away from it.",On the wooden fence directly in front of the ball shooter.,None of the above
1130-7,te4-qw7DW6M,https://www.youtube.com/shorts/te4-qw7DW6M,16.7,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,Which ball moved significantly when the old man swung his arm with the largest magnitude?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Red,Blue,Neither,Green,None of the above
1134-7,J_W4i0HkKJ0,https://www.youtube.com/shorts/J_W4i0HkKJ0,20.01,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,How did the ball of the first throw in the last scene move after being released?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It descended directly towards the basketball hoop.,It moved in a high arc trajectory and bounced back to the person.,It moved in a straight line towards the hoop.,It was thrown with a downward motion.,None of the above
1137-7,4AqYhTpPpBI,https://www.youtube.com/shorts/4AqYhTpPpBI,6.12,Multiple-choice Question with a Single Correct Answer,Positional Relationship,"When the woman is upside down, which direction is the man's head facing?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To the left,Upward and forward at the camera,Backward,Downward,None of the above
1145-7,N2BiQKS3e2Y,https://www.youtube.com/shorts/N2BiQKS3e2Y,30.04,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,How long is the interval between the woman's phone checks as an adult?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",30 minutes,1 minute,24 hours,12 hours,None of the above
1159-7,0-ugjds_Rz8,https://www.youtube.com/shorts/0-ugjds_Rz8,16.67,Multiple-choice Question with a Single Correct Answer,Element Localization,What are the fifth and seventh items shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Highlighters and erasers,Pens and glue,Sticky notes and measurement scale,Notebooks and pencil,None of the above
1160-7,yTKp6HP2_wU,https://www.youtube.com/shorts/yTKp6HP2_wU,27.38,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the fourth item shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A sliding round button.,A deck of cards fidget toy.,A metal fidget toy that looks like a mahjong tile.,A small black pill-shaped fidget toy.,None of the above
1161-7,9gPw1jw3Ukk,https://www.youtube.com/shorts/9gPw1jw3Ukk,11.58,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the correct color order displayed by the long strip of light on the objects in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","Yellow, green, cyan, blue, purple, red, and orange.","Yellow, green, blue, purple, and red.","Green, yellow, blue, purple, and red.","Yellow, blue, green, purple, and red.",None of the above
1162-7,4jmQCgMy1mE,https://www.youtube.com/shorts/4jmQCgMy1mE,25.77,Multiple-choice Question with a Single Correct Answer,Event Localization,What is the correct order of the menu options browsed in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","Calendar, Clock, Calculator, Notes","Calendar, Clock, Notes, Calculator, Settings","Calendar, Notes, Clock, Calculator","Calendar, Clock, Notes, Calculator",None of the above
1168-7,aWdGWNIye8M,https://www.youtube.com/shorts/aWdGWNIye8M,14.58,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why did the man in the red hat fall into the hole?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He tripped over a rock.,Video editing and an optical illusion made it appear real.,He was deceived by a realistic 3D street painting.,The ground was unstable.,None of the above
1169-7,RtYbZzlUVxM,https://www.youtube.com/shorts/RtYbZzlUVxM,13.24,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why was the man in black and white clothes kicked to pieces by the soccer ball?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was due to video editing.,He was a mannequin.,He was hit too hard.,It was a magic trick.,None of the above
1170-7,MImfdDB5-K8,https://www.youtube.com/shorts/MImfdDB5-K8,14.05,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How did the containers disappear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",They were hidden behind other containers.,They were stolen.,They were part of a Tetris-like game and disappeared due to post-production effects.,They fell off the ship.,None of the above
1173-7,YfbZV7u3kMM,https://www.youtube.com/shorts/YfbZV7u3kMM,5.53,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why did the person in the back seat disappear?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The car made a sharp turn.,The car made a sudden stop.,The person jumped out of the car.,Post-production editing.,None of the above
1175-7,oG45ZbYePtY,https://www.youtube.com/shorts/oG45ZbYePtY,19.61,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How is the bear on the ground made to move in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A digital overlay on a smartphone,Clever editing between a 3D painting and a real bear,A mechanical bear,The bears on the ground are people in disguise.,None of the above
1176-7,PFlSRwIZ8EM,https://www.youtube.com/shorts/PFlSRwIZ8EM,24.15,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why did the plant in the man's hand appear larger?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was a change in perspective.,It was due to visual effects.,It was a natural growth in the greenhouse.,It was a change in lighting.,None of the above
1177-7,lJcTCcUJK0I,https://www.youtube.com/shorts/lJcTCcUJK0I,17.71,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How did the man appear on another boat?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He swam to the other boat.,He used video editing and visual effects.,He used a hidden platform.,He was pulled by a rope.,None of the above
1178-7,SArRN5FhkYI,https://www.youtube.com/shorts/SArRN5FhkYI,19.41,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why does a laptop appear in the final scene of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It is a visual effect created by a filter.,It is a foldable device.,It is a real laptop.,It is a hologram.,None of the above
1181-7,ys5re4kXW1I,https://www.youtube.com/shorts/ys5re4kXW1I,12.76,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How did the Colosseum disappear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was edited out using visual effects.,It was painted over.,It was demolished.,It was covered by a large cloth.,None of the above
1182-7,NFMqcsBtY30,https://www.youtube.com/shorts/NFMqcsBtY30,20.27,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How does the ladder appear beneath the clouds in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It is a small object that is replaced by a full-sized ladder.,"As it moves toward the clouds, it transforms into a ladder of reduced size.",It is a small object that appears full-sized due to video editing techniques.,It is a full-sized ladder from the beginning.,None of the above
1183-7,uYIWSSQNV4w,https://www.youtube.com/shorts/uYIWSSQNV4w,13.1,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),What caused the sky to darken suddenly at the beginning of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A combination of lighting changes and post-production effects.,The person turned off the lights.,The person closed the curtains.,The person left the room.,None of the above
1192-7,RdDzFuX1b1s,https://www.youtube.com/shorts/RdDzFuX1b1s,20.65,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why did the standing sprinkler suddenly appear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was hidden underground.,It was triggered by a sensor.,It was a result of video editing.,It was always there but invisible.,None of the above
1203-7,X2muluGbNeo,https://www.youtube.com/shorts/X2muluGbNeo,18.82,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,How did the man take out the towel without touching the stream?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By turning off the water first.,By moving the open end of the towel to the other side of the water flow.,By using the detachable spray head of the faucet.,By using a different towel.,None of the above
1206-7,fuAUDvxf_vY,https://www.youtube.com/shorts/fuAUDvxf_vY,10.65,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,Why does the blue paint appear to spill unusually?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The person is holding the paint can upside down above their head.,The paint is thicker than usual.,"The set is upside down, creating an illusion.",The paint can is defective.,None of the above
1209-7,H-9qGWrW83M,https://www.youtube.com/shorts/H-9qGWrW83M,20.67,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,How fast is the woman in the photo at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",She is actually running.,She is walking quickly.,The special composition and photo editing and she never leaves her position.,The position of her legs.,None of the above
1210-7,diEfe0tsJY8,https://www.youtube.com/shorts/diEfe0tsJY8,6.25,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),What is the change in focus of the video shooting?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The bird to the people in the foreground,The people in the foreground to the bird,Keeping the photograph of the two birds,The entire room,None of the above
1214-7,7nnjsL5oc_s,https://www.youtube.com/shorts/7nnjsL5oc_s,5.76,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the motion of the camera when photographing the woman?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Zoom-in,Pan left,Zoom-out,Pan right,None of the above
1223-7,FxLooSikc2U,https://www.youtube.com/shorts/FxLooSikc2U,23.66,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How does the camera view differ in the last throw compared to others?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",it zooms in on the bottom right section.,it zooms out on the bottom left section.,It remains stationary.,it zooms in on the bottom left section.,None of the above
1225-7,#NAME?,https://www.youtube.com/shorts/-o7pVduTGVs,,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Who is mainly visible when the first camera zoom is complete?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A woman in a pink dress.,A man in a white Under Armour t-shirt.,A man in a gray Under Armour t-shirt.,A woman in a blue dress.,None of the above
1229-7,d-uzkMB14xQ,https://www.youtube.com/shorts/d-uzkMB14xQ,10.41,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why does the object in front of the mirror appear different from its reflection?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The video operates with special editing techniques,The mirror is a convex mirror.,The photo was taken using a panoramic photography feature.,The mirror is a concave mirror.,None of the above
1231-7,BFgfaUrBoks,https://www.youtube.com/shorts/BFgfaUrBoks,14.98,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why does the waterfall appear to flow backwards at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Reverse video processing was used.,The water flow was altered physically.,The lighting created an illusion.,Using special effects techniques.,None of the above
1233-7,vpzN7MFV4YU,https://www.youtube.com/shorts/vpzN7MFV4YU,10.99,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why are there two reflections in the photo?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The photographer used a panoramic camera function.,There was a mirror placed in the scene.,One is the actual reflection and the other is from the phone screen.,The photo was edited post-capture.,None of the above
1235-7,EvlFEYvsf2Q,https://www.youtube.com/shorts/EvlFEYvsf2Q,4.48,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the result of 4 + 3 according to the pattern in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",43,73,412,37,None of the above
1236-7,eDcteTYALgI,https://www.youtube.com/shorts/eDcteTYALgI,16.95,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the reason the method in the video is considered useful?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It involves the square root of a number before dividing by 5.,It involves squaring the numbers before dividing by 5.,It simplifies division into single-digit multiplication.,It reduces division to addition.,None of the above
1237-7,jTpJa4TF5cQ,https://www.youtube.com/shorts/jTpJa4TF5cQ,4.5,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the answer to 9 + 9 according to the pattern in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",18,63,81,72,None of the above
1239-7,3Eh34zhrxMA,https://www.youtube.com/shorts/3Eh34zhrxMA,15.1,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the outcome of using the method shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","Less efficient than ordinary methods, but more accurate.",More efficient than normal methods.,The results are as efficient and accurate as the normal method.,"More efficient than normal methods, but less accurate.",None of the above
1242-7,68kf4Xd63rc,https://www.youtube.com/shorts/68kf4Xd63rc,12.61,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What was the result of the man's magic show?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The new money appeared under the cup.,The money fell to the ground.,The money under the cup disappeared.,The money went back to the boy.,None of the above
1255-7,IpHK0Fscq1o,https://www.youtube.com/shorts/IpHK0Fscq1o,38.64,Multiple-choice Question with a Single Correct Answer,Event Localization,After which color being called did the man run underneath?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Yellow,Green,Blue,Red,None of the above
1260-7,zHkShLJc41g,https://www.youtube.com/shorts/zHkShLJc41g,16.75,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why does the man in white look surprised at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He received unexpected news.,The man in black ate all the food on his plate.,The food was spicier than he expected.,The lights went out suddenly.,None of the above
1261-7,nBq9a0dz_w4,https://www.youtube.com/shorts/nBq9a0dz_w4,34.2,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why are two men visible in the reflection of the woman reading under a tree?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The men were actually sitting next to the woman.,A mirror was used to create the reflection.,The reflection is a natural phenomenon.,The photos were intentionally shot and edited together.,None of the above
1262-7,gyynOp1Z9vg,https://www.youtube.com/shorts/gyynOp1Z9vg,59.61,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What was the emotion of the girl in the pink top after she held the performer's arm?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Worried and scared,Indifferent,Happy,Curious and amused,None of the above
1275-7,l9HF9qcNvBs,https://youtube.com/shorts/l9HF9qcNvBs,58.86,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Who won the challenge?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","The person in the red T-shirt, the person in the beige jacket, and the person in the light purple/pink T-shirt",None of the above,The person in the blue T-shirt and the person in the red T-shirt,The person in the blue T-shirt,None of the above
1276-7,vXUZpRRrIBU,https://youtube.com/shorts/vXUZpRRrIBU,30.32,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What does the lemon icon at the top of the video signify?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A music video,The sourness of the lemons to be eaten,A cooking show,Different sizes of lemons to be eaten,None of the above
1278-7,X9_PhsoghBI,https://www.youtube.com/shorts/X9_PhsoghBI,59.29,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),What is the difference in the number of attempts between the first two challenges?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",1,2,3,0,None of the above
1283-7,gilRZPVaUiM,https://www.youtube.com/shorts/gilRZPVaUiM,20.85,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,Which child runs the fastest at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The child in the yellow outfit,The child in the blue outfit,The child in the red outfit in the middle,The child in the green outfit,None of the above
1288-7,YKdNJPfnbLA,https://www.youtube.com/shorts/YKdNJPfnbLA,12.52,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What emotion does the blond man display at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Frustrated,Indifferent,Joyful,Playful,None of the above
1290-7,WuoIOYVkN7E,https://www.youtube.com/shorts/WuoIOYVkN7E,7.96,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What is the man's reaction at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He is indifferent.,He is confused.,He is in shock and agony.,He is amused and entertained.,None of the above
1293-7,c77XgLraFbM,https://www.youtube.com/shorts/c77XgLraFbM,24.45,Multiple-choice Question with a Single Correct Answer,Objective Causality,How was the flying bottle cap photo created in the second scene?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By throwing it in the air and capturing the photo precisely.,By physically flicking it with a finger.,By using a fan to blow it into the air.,By attaching it to a thin string and using camera angles.,None of the above
1294-7,WbCqk3TIySs,https://www.youtube.com/shorts/WbCqk3TIySs,12.08,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"Based on narrative, how did the piece of meat end up on the grill?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was placed there using tongs.,It was dropped by the chef next to the grill.,It was already on the grill.,It was dropped from a hot air balloon.,None of the above
1298-7,WKkCkLRo-Us,https://www.youtube.com/shorts/WKkCkLRo-Us,7.71,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why didn't the man's football return to him?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It landed in a blue bucket.,It landed in a basketball hoop.,The video ended before it is shown.,It was intercepted by a dog.,None of the above
1299-7,OHk9qAIMKKU,https://www.youtube.com/shorts/OHk9qAIMKKU,7.49,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why did the elevator door close?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Buffer time has run out.,The person inside pressed the close button.,The elevator malfunctioned.,The person outside was holding the door.,None of the above
1307-7,BH9b46Sy7jM,https://www.youtube.com/shorts/BH9b46Sy7jM,29.61,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,What happens to the speed difference between the two tires after the ramp?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both tires maintain the same speed.,The initially lagging tire accelerates and surpasses the leading tire.,The leading tire remains in the leading position all the time.,The lagging tire stops moving.,None of the above
1308-7,KZfOc4Bygfs,https://www.youtube.com/shorts/KZfOc4Bygfs,24.09,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,How does the speed of the black missile change in the animation?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It increases significantly from the start.,It moves seven times faster than the bullet from the start.,"It first decelerates to match the bullet's speed, then accelerates rapidly.",It maintains a constant speed throughout.,None of the above
1310-7,xk2yJbDhU0E,https://www.youtube.com/shorts/xk2yJbDhU0E,28.65,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,Who completed the game in less time?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both finished at the same time,Michiel,Neither completed the game,Celine,None of the above
1312-7,_tT2ldpZHek,https://www.youtube.com/shorts/_tT2ldpZHek,46.34,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What was the state of the treadmill while the person was sleeping in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","The treadmill was off, but the person was moving.","The treadmill was running, but the person was unaffected, sleeping on bed.","The treadmill was running, causing the person to crawl forward.",The treadmill was turned off and stationary.,None of the above
1318-7,3i4wmfNpqRg,https://www.youtube.com/shorts/3i4wmfNpqRg,16.38,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What are the daughter's emotions at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Confused,Excited,Speechless,Amused,None of the above
1321-7,6qHXenlRDH4,https://youtube.com/shorts/6qHXenlRDH4,24.32,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What is the emotion of the girl in braids at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Happy and engaged,Indifferent and bored,Excited and thrilled,Dazed and confused,None of the above
1324-7,L9dnb-wfsnc,https://www.youtube.com/shorts/L9dnb-wfsnc,28.67,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,What caused the change in mood for the man and woman at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",They were enjoying the moment with the dog.,They were not paying attention.,The man was almost about to harm the dog.,They were relaxed and playful.,None of the above
1329-7,x5JHiogS_nM,https://www.youtube.com/shorts/x5JHiogS_nM,16.21,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,What were the reasons for the woman's mood at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",She was curious about what happened.,The man was not taking care of their child.,She failed to understand the man's actions.,The man made it look like she was doing a kowtow while the man preteded to be a king.,None of the above
1344-7,eLJNa61S4RE,https://www.youtube.com/shorts/eLJNa61S4RE,18.35,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why does the child smile after the injection?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",They are distracted by a toy.,They are being comforted by the person around them.,The pain subsides once the needle is removed.,They are reacting to the interesting environment.,None of the above
